Índice,"Número
colección
planta
madre","Fecha
siembra","Fecha
transplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (mm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),índice2,Nombre_contorno,OBSERVACIONES,ARCHIVO.TIFF
142,1018,4/5/2019,11/4/2019,3A,5,2,6/25/2023,NA,13,195,81,175,78,176,29,235,85,120,NA,NA,NA,NA,NA,NA,106,106_24-06-2023_1018_05-04-2019_04-11-2019_3A_5_2,POSIBLE ERROR EN LA LONGITUD DEL TALLO,106_24-06-2023_1018_05-04-2019_04-11-2019_3A_5_2.tiff
156,1037,4/2/2019,12/7/2019,4A,1,6,6/25/2023,23.98,2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96_21-06-2023_1037_02-04-2019_07-12-2019_4A_1_6,"2 HOJAS AMARILLAS, MUY MARCHITA",96_21-06-2023_1037_02-04-2019_07-12-2019_4A_1_6.tiff
160,1036,4/5/2019,12/7/2019,4A,1,10,6/24/2023,27.43,5,170,118,70,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12_10-06-2023_1036_05-04-2019_07-12-2019_4A_1_10,NA,12_10-06-2023_1036_05-04-2019_07-12-2019_4A_1_10.tiff
100,1039,4/2/2019,9/4/2019,2A,5,10,6/24/2023,28.08,7,125,173,190,98,85,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,89_21-06-2023_1039_02-04-2019_04-09-2019_2A_5_10,NA,89_21-06-2023_1039_02-04-2019_04-09-2019_2A_5_10.tiff
250,1040,4/5/2019,12/7/2019,5A,5,9,6/27/2023,28.13,4,175,65,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,143_25-06-2023_1040_05-04-2019_07-12-2019_5A_5_9,NA,143_25-06-2023_1040_05-04-2019_07-12-2019_5A_5_9.tiff
138,1036,4/5/2019,11/4/2019,3A,4,8,6/25/2023,30.45,NA,214,220,170,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99_23-06-2023_1036_05-04-2019_04-11-2019_3A_4_8,"TALLO PRINCIPAL MARCHITO, TODAS LAS MEDIDAS DESDE LA ROSETA LATERAL VIVA. ERROR EN EL NÚMERO DE HOJAS",99_23-06-2023_1036_05-04-2019_04-11-2019_3A_4_8.tiff
214,1010,4/5/2019,12/7/2019,5A,2,3,6/25/2023,31.11,7,102,174,108,95,164,110,140,NA,NA,NA,NA,NA,NA,NA,NA,82,82_21-06-2023_1010_05-04-2019_07-12-2019_5A_2_3,TODAS LAS HOJAS ESTÁN AMARILLAS,82_21-06-2023_1010_05-04-2019_07-12-2019_5A_2_3.tiff
81,1007,4/5/2019,9/4/2019,2A,4,1,5/27/2023,33.02,12,92,24,73,35,177,112,117,186,98,156,NA,NA,NA,NA,NA,58,58_10-06-2023_1007_05-04-2019_04-09-2019_2A_4_1,dos hojas amarillentas,58_10-06-2023_1007_05-04-2019_04-09-2019_2A_4_1.tiff
28,1008,4/5/2019,8/6/2019,1A,3,8,6/27/2023,35.4,5,140,151,73,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,176_26-06-2023_1008_05-04-2019_06-08-2019_1A_3_8,1 roseta lateral,176_26-06-2023_1008_05-04-2019_06-08-2019_1A_3_8.tiff
241,1034,4/5/2019,12/7/2019,5A,4,10,6/27/2023,35.52,9,220,178,200,282,145,106,62,81,NA,NA,NA,NA,NA,NA,NA,136,136_25-06-2023_1034_05-04-2019_07-12-2019_5A_4_10,1 ROSETA GRANDE,136_25-06-2023_1034_05-04-2019_07-12-2019_5A_4_10.tiff
77,1027,4/5/2019,9/4/2019,2A,3,7,6/25/2023,37.06,8,194,86,125,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,123_25-06-2023_1027_05-04-2019_04-09-2019_2A_3_7,NA,123_25-06-2023_1027_05-04-2019_04-09-2019_2A_3_7.tiff
190,1039,4/2/2019,12/7/2019,4A,4,10,6/27/2023,37.75,6,190,255,125,260,230,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,174_26-06-2023_1039_02-04-2019_07-12-2019_4A_4_10,NA,174_26-06-2023_1039_02-04-2019_07-12-2019_4A_4_10.tiff
119,1037,4/2/2019,11/4/2019,3A,2,9,6/24/2023,38.45,5,160,148,107,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,83_21-06-2023_1037_02-04-2019_04-11-2019_3A_2_9,NA,83_21-06-2023_1037_02-04-2019_04-11-2019_3A_2_9.tiff
162,1035,4/5/2019,12/7/2019,4A,2,2,6/27/2023,38.9,16,93,160,183,132,140,150,155,150,127,135,146,104,130,NA,NA,177,177_26-06-2023_1035_05-04-2019_07-12-2019_4A_2_2,NA,177_26-06-2023_1035_05-04-2019_07-12-2019_4A_2_2.tiff
42,1007,4/5/2019,8/6/2019,1A,5,2,5/27/2023,39.12,17,117,52,107,26,43,190,73,61,72,45,44,225,56,148,108,69,69_21-06-2023_1007_05-04-2019_06-08-2019_1A_5_2,NA,69_21-06-2023_1007_05-04-2019_06-08-2019_1A_5_2.tiff
62,1030,4/5/2019,9/4/2019,2A,2,2,6/27/2023,39.62,6,170,97,170,52,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21_10-06-2023_1030_05-04-2019_04-09-2019_2A_2_2,3 ROSETAS LATERALES PEQEÑAS,21_10-06-2023_1030_05-04-2019_04-09-2019_2A_2_2.tiff
22,1035,4/5/2019,8/6/2019,1A,3,2,6/25/2023,39.77,11,200,95,141,70,175,270,140,135,92,105,NA,NA,NA,NA,NA,103,103_24-06-2023_1035_05-04-2019_06-08-2019_1A_3_2,1 HOJA AMARILLA,103_24-06-2023_1035_05-04-2019_06-08-2019_1A_3_2.tiff
148,1012,4/5/2019,11/4/2019,3A,5,8,6/25/2023,40.08,5,84,155,215,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,121_25-06-2023_1012_05-04-2019_04-11-2019_3A_5_8,NA,121_25-06-2023_1012_05-04-2019_04-11-2019_3A_5_8.tiff
208,1034,4/5/2019,12/7/2019,5A,1,7,6/25/2023,41.21,7,144,285,133,100,220,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,115_25-06-2023_1034_05-04-2019_07-12-2019_5A_1_7,"1 ROSETA LATERAL, ASPECTO CHAMUSCADO",115_25-06-2023_1034_05-04-2019_07-12-2019_5A_1_7.tiff
55,1034,4/5/2019,9/4/2019,2A,1,5,6/26/2023,42.23,9,180,235,220,178,238,200,103,NA,NA,NA,NA,NA,NA,NA,NA,141,141_25-06-2023_1034_05-04-2019_04-09-2019_2A_1_5,NA,141_25-06-2023_1034_05-04-2019_04-09-2019_2A_1_5.tiff
232,1038,4/5/2019,12/7/2019,5A,4,1,6/25/2023,42.73,11,183,244,222,180,94,155,65,NA,NA,NA,NA,NA,NA,NA,NA,122,122_25-06-2023_1038_05-04-2019_07-12-2019_5A_4_1,1 HOJA AMARILLA,122_25-06-2023_1038_05-04-2019_07-12-2019_5A_4_1.tiff
213,1035,4/5/2019,12/7/2019,5A,2,2,6/23/2023,43.66,10,190,280,115,160,145,130,96,65,NA,NA,NA,NA,NA,NA,NA,39,39_10-06-2023_1035_05-04-2019_07-12-2019_5A_2_2,NA,39_10-06-2023_1035_05-04-2019_07-12-2019_5A_2_2.tiff
49,1009,4/5/2019,8/6/2019,1A,5,9,6/23/2023,44.11,10,45,85,55,95,107,135,103,50,175,72,NA,NA,NA,NA,NA,NA,SIN CONTORNO,"rev 1A, 8, 9 no existe fila 8, el cogollo está enrollado sobre sí mismo",SIN CONTORNO
152,1018,4/5/2019,12/7/2019,4A,1,2,5/27/2023,44.55,27,98,101,97,116,108,191,101,160,144,114,184,109,163,137,127,61,61_21-06-2023_1018_05-04-2019_07-12-2019_4A_1_2,angulo 2 a 3 hoja seca / una hoja amarilenta,61_21-06-2023_1018_05-04-2019_07-12-2019_4A_1_2.tiff
71,1018,4/5/2019,9/4/2019,2A,3,1,6/27/2023,44.96,13,210,225,234,190,233,207,220,212,130,265,130,NA,NA,NA,NA,168,168_26-06-2023_1018_05-04-2019_04-09-2019_2A_3_1,NA,168_26-06-2023_1018_05-04-2019_04-09-2019_2A_3_1.tiff
48,1028,4/5/2019,8/6/2019,1A,5,8,6/27/2023,45.24,8,195,235,89,238,204,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,148_25-06-2023_1028_05-04-2019_06-08-2019_1A_5_8,rev esta ubicación en la libreta se repite con 1009,148_25-06-2023_1028_05-04-2019_06-08-2019_1A_5_8.tiff
50,1002,4/2/2019,8/6/2019,1A,5,10,6/25/2023,46.01,9,92,150,185,90,180,186,88,NA,NA,NA,NA,NA,NA,NA,NA,112,112_25-06-2023_1002_02-04-2019_06-08-2019_1A_5_10,NA,112_25-06-2023_1002_02-04-2019_06-08-2019_1A_5_10.tiff
65,1038,4/5/2019,9/4/2019,2A,2,5,6/24/2023,46.13,7,170,65,219,237,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,38_10-06-2023_1038_05-04-2019_04-09-2019_2A_2_5,NA,38_10-06-2023_1038_05-04-2019_04-09-2019_2A_2_5.tiff
64,1042,4/5/2019,9/4/2019,2A,2,4,6/26/2023,46.29,22,115,245,264,152,124,163,275,210,260,230,295,202,82,157,85,144,144_25-06-2023_1042_05-04-2019_04-09-2019_2A_2_4,NA,144_25-06-2023_1042_05-04-2019_04-09-2019_2A_2_4.tiff
87,1039,4/2/2019,9/4/2019,2A,4,7,6/25/2023,46.32,7,155,162,120,71,77,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,95_21-06-2023_1039_02-04-2019_04-09-2019_2A_4_7,1 ROSETA LATERAL,95_21-06-2023_1039_02-04-2019_04-09-2019_2A_4_7.tiff
230,1035,4/5/2019,12/7/2019,5A,3,9,6/24/2023,46.51,16,110,114,100,113,78,110,59,73,118,144,70,190,152,NA,NA,91,91_21-06-2023_1035_05-04-2019_07-12-2019_5A_3_9,2 ROSETAS LATERALES,91_21-06-2023_1035_05-04-2019_07-12-2019_5A_3_9.tiff
72,1040,4/5/2019,9/4/2019,2A,3,2,6/27/2023,46.76,NA,212,179,148,130,172,150,265,195,240,175,122,90,52,NA,NA,159,159_26-06-2023_1040_05-04-2019_04-09-2019_2A_3_2,"2 HOJAS AMARILLAS, ERROR EN LA TOMA DE NUMERO DE HOJAS",159_26-06-2023_1040_05-04-2019_04-09-2019_2A_3_2.tiff
41,1009,4/5/2019,8/6/2019,1A,5,1,5/28/2023,47.76,12,145,94,202,232,75,53,128,131,45,NA,NA,NA,NA,A,NA,62,62_21-06-2023_1009_05-04-2019_06-08-2019_1A_5_1,Dos hojas amarillas,62_21-06-2023_1009_05-04-2019_06-08-2019_1A_5_1.tiff
155,1002,4/2/2019,12/7/2019,4A,1,5,6/24/2023,47.93,14,170,49,216,221,226,70,105,75,NA,NA,NA,NA,NA,NA,NA,10,10_10-06-2023_1002_02-04-2019_07-12-2019_4A_1_5,NA,10_10-06-2023_1002_02-04-2019_07-12-2019_4A_1_5.tiff
40,1007,4/5/2019,8/6/2019,1A,4,10,5/27/2023,47.94,23,145,91,125,126,163,125,134,161,115,132,162,119,150,142,142,66,66_21-06-2023_1007_05-04-2019_06-08-2019_1A_4_10,"3 hojas amarillentas, 1 hoja entorchada",66_21-06-2023_1007_05-04-2019_06-08-2019_1A_4_10.tiff
204,1036,4/5/2019,12/7/2019,5A,1,3,6/25/2023,48.04,16,135,65,230,100,160,75,180,245,190,120,135,NA,NA,NA,NA,94,94_21-06-2023_1036_05-04-2019_07-12-2019_5A_1_3,NA,94_21-06-2023_1036_05-04-2019_07-12-2019_5A_1_3.tiff
